               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.022697,            0.010149,           0.0017863,             0.95569,              0.8125,             0.82516,             0.56782,            0.036469,            0.015492,           0.0024009,             0.00505,             0.00505,             0.00505
                 102,            0.022133,           0.0084017,           0.0019443,             0.95137,              0.8125,             0.83092,             0.63038,             0.02927,            0.015765,           0.0022227,           0.0050005,           0.0050005,           0.0050005
                 103,            0.021866,           0.0091817,           0.0020343,               0.944,              0.8125,             0.83607,             0.61621,            0.032346,            0.015712,           0.0022217,            0.004951,            0.004951,            0.004951
                 104,            0.021867,           0.0096027,           0.0016944,             0.94283,              0.8125,             0.84083,             0.63632,            0.029129,            0.015989,           0.0021523,           0.0049015,           0.0049015,           0.0049015
                 105,            0.021114,            0.008887,           0.0020741,             0.94224,              0.8125,             0.84098,             0.58413,            0.033094,            0.016143,           0.0021249,            0.004852,            0.004852,            0.004852
                 106,            0.021366,           0.0092689,           0.0017222,             0.94871,              0.8125,             0.83691,             0.65664,            0.028373,            0.016102,           0.0021091,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021626,           0.0089051,            0.001912,             0.95404,              0.8125,             0.82779,              0.5733,            0.032153,             0.01603,           0.0021054,            0.004753,            0.004753,            0.004753
                 108,            0.020518,           0.0093901,           0.0016387,             0.95262,              0.8125,             0.82434,             0.62177,             0.02765,            0.016083,            0.002038,           0.0047035,           0.0047035,           0.0047035
                 109,            0.020475,           0.0083929,           0.0016871,             0.96224,              0.8125,             0.82535,             0.58812,            0.033131,            0.015899,           0.0020717,            0.004654,            0.004654,            0.004654
                 110,            0.021921,           0.0088823,           0.0016751,             0.96358,              0.8125,             0.82514,             0.67612,            0.028568,            0.015933,           0.0020688,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020907,           0.0097509,           0.0018141,             0.96002,              0.8125,             0.82569,              0.6178,            0.030466,            0.015462,           0.0021361,            0.004555,            0.004555,            0.004555
                 112,            0.020565,           0.0090494,           0.0017376,             0.95731,              0.8125,             0.82765,             0.60911,            0.029836,            0.015653,           0.0021331,           0.0045055,           0.0045055,           0.0045055
                 113,            0.020369,           0.0091803,           0.0019671,             0.95624,              0.8125,             0.82721,             0.63051,             0.03042,            0.015063,           0.0021574,            0.004456,            0.004456,            0.004456
                 114,            0.020709,           0.0096679,           0.0018076,             0.95191,              0.8125,             0.82695,             0.62219,            0.029524,            0.015594,           0.0020795,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019643,           0.0092722,            0.001721,             0.95237,              0.8125,             0.82617,             0.62771,            0.030894,             0.01524,            0.002101,            0.004357,            0.004357,            0.004357
                 116,            0.019796,           0.0095418,           0.0018243,             0.96047,              0.8125,             0.82742,             0.68208,            0.029024,            0.015246,           0.0021354,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019523,           0.0088702,           0.0014765,             0.96188,              0.8125,             0.82499,             0.57634,            0.031806,            0.015637,           0.0021996,            0.004258,            0.004258,            0.004258
                 118,            0.019608,           0.0089477,           0.0016329,              0.9591,              0.8125,             0.82649,             0.63616,             0.02953,            0.015732,           0.0023804,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019216,           0.0083059,           0.0015951,             0.95569,              0.8125,             0.82872,             0.64562,            0.028683,            0.015477,           0.0024437,            0.004159,            0.004159,            0.004159
                 120,            0.019042,           0.0094925,           0.0016479,             0.95762,              0.8125,             0.82861,             0.60944,            0.029713,            0.015785,           0.0023854,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019047,           0.0080494,           0.0017207,             0.94738,              0.8125,             0.82872,             0.66903,            0.026352,            0.015317,            0.002449,             0.00406,             0.00406,             0.00406
                 122,            0.018585,           0.0082495,            0.001693,             0.94922,              0.8125,             0.82861,             0.63792,            0.028072,            0.015469,           0.0025652,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019196,            0.009248,           0.0015504,             0.95186,              0.8125,             0.82872,             0.66438,            0.026004,            0.015544,           0.0023812,            0.003961,            0.003961,            0.003961
                 124,            0.018801,           0.0081904,           0.0017451,             0.94541,              0.8125,             0.83635,             0.63883,            0.027822,            0.016066,           0.0022946,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018713,           0.0085145,           0.0013674,             0.94296,              0.8125,             0.83715,             0.57271,            0.029498,            0.016006,           0.0022365,            0.003862,            0.003862,            0.003862
                 126,            0.018356,           0.0090199,           0.0015742,             0.95105,              0.8125,             0.83536,             0.63688,            0.028717,            0.015731,           0.0021379,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01846,            0.008833,           0.0015602,              0.9571,              0.8125,             0.83279,             0.63565,            0.027635,            0.015674,           0.0020825,            0.003763,            0.003763,            0.003763
                 128,            0.018298,            0.008652,           0.0017692,             0.96571,              0.8125,             0.82731,             0.62821,            0.027936,            0.015603,           0.0020326,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017062,           0.0086572,           0.0013642,             0.96941,              0.8125,             0.82637,             0.62617,             0.02934,            0.015511,            0.002029,            0.003664,            0.003664,            0.003664
                 130,             0.01815,           0.0072589,           0.0016823,             0.96877,              0.8125,             0.82348,             0.64898,            0.028579,            0.015425,           0.0020116,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018614,           0.0085175,           0.0016751,             0.97162,              0.8125,              0.8238,              0.6154,            0.031124,            0.015411,           0.0019697,            0.003565,            0.003565,            0.003565
                 132,            0.017347,           0.0074126,           0.0012953,             0.97118,              0.8125,             0.82456,             0.61094,            0.028799,            0.015357,           0.0018845,           0.0035155,           0.0035155,           0.0035155
                 133,             0.01795,            0.009305,           0.0013134,             0.97368,              0.8125,             0.82611,             0.61958,            0.030324,            0.015547,           0.0018588,            0.003466,            0.003466,            0.003466
                 134,            0.018031,           0.0086297,           0.0013247,             0.97259,              0.8125,             0.82736,             0.61234,            0.028114,            0.015533,           0.0018142,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017463,           0.0079507,           0.0012154,             0.97288,              0.8125,             0.82807,             0.61747,            0.030666,            0.015762,           0.0018402,            0.003367,            0.003367,            0.003367
                 136,            0.016858,           0.0077105,           0.0012589,             0.96943,              0.8125,             0.83079,             0.64551,            0.027241,            0.015815,           0.0019273,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017507,             0.00811,           0.0013335,             0.95822,              0.8125,             0.83079,             0.63097,            0.029668,            0.015828,           0.0020873,            0.003268,            0.003268,            0.003268
                 138,            0.017156,           0.0080165,           0.0012615,             0.93424,             0.80357,             0.83934,             0.62311,             0.02941,            0.015975,           0.0022473,           0.0032185,           0.0032185,           0.0032185
                 139,             0.01611,           0.0083451,           0.0014472,             0.92004,             0.79675,             0.84299,             0.59773,            0.030881,            0.016014,           0.0023919,            0.003169,            0.003169,            0.003169
                 140,            0.016854,           0.0084315,           0.0012253,             0.92553,             0.79917,             0.84786,             0.63983,            0.028774,            0.015644,           0.0023666,           0.0031195,           0.0031195,           0.0031195
                 141,            0.016639,           0.0083784,           0.0012889,             0.92951,             0.79691,             0.83918,             0.63186,            0.029761,            0.015429,           0.0025237,             0.00307,             0.00307,             0.00307
                 142,             0.01689,           0.0074864,           0.0012054,             0.95212,              0.8125,             0.83021,             0.62578,            0.028854,            0.015128,           0.0023285,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017019,           0.0091329,           0.0013666,             0.95859,              0.8125,             0.82942,             0.63143,            0.029294,             0.01523,           0.0022089,            0.002971,            0.002971,            0.002971
                 144,            0.016524,           0.0081165,           0.0015209,             0.96174,              0.8125,             0.82841,             0.63223,            0.027737,            0.015234,           0.0021369,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016836,            0.007434,           0.0012009,             0.96581,              0.8125,             0.82823,              0.6537,             0.02884,             0.01538,           0.0020528,            0.002872,            0.002872,            0.002872
                 146,            0.016281,           0.0078401,           0.0013305,             0.96745,              0.8125,             0.82792,             0.66415,            0.026435,            0.015046,           0.0020375,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016213,           0.0082937,           0.0011706,             0.96866,              0.8125,             0.82807,             0.63765,             0.02977,            0.015403,           0.0020623,            0.002773,            0.002773,            0.002773
                 148,             0.01605,           0.0077816,           0.0013725,             0.97045,              0.8125,             0.82807,             0.63382,            0.028756,            0.015131,           0.0020188,           0.0027235,           0.0027235,           0.0027235
                 149,            0.015296,           0.0072849,           0.0011338,             0.97057,              0.8125,             0.82719,             0.63658,            0.030903,             0.01565,           0.0019852,            0.002674,            0.002674,            0.002674
                 150,            0.015337,           0.0082376,           0.0011673,             0.97176,              0.8125,             0.82661,             0.60351,            0.030437,            0.015517,           0.0019278,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015375,            0.007863,          0.00097555,             0.97185,              0.8125,             0.82596,             0.64039,            0.028182,            0.015575,           0.0018399,            0.002575,            0.002575,            0.002575
                 152,            0.015549,           0.0084498,          0.00099115,             0.97208,              0.8125,             0.82487,             0.63213,            0.030728,            0.015551,           0.0018057,           0.0025255,           0.0025255,           0.0025255
                 153,            0.015588,           0.0079464,          0.00095239,             0.97111,              0.8125,             0.82427,             0.65473,            0.028741,            0.015329,           0.0017881,            0.002476,            0.002476,            0.002476
                 154,            0.014847,           0.0080448,          0.00099453,             0.97253,              0.8125,             0.82289,             0.62145,            0.030175,            0.015578,           0.0018147,           0.0024265,           0.0024265,           0.0024265
                 155,             0.01504,           0.0076099,           0.0010825,             0.97091,              0.8125,             0.82315,             0.65193,            0.028424,            0.015591,            0.001858,            0.002377,            0.002377,            0.002377
